
Analyzing signals_history_1b_2023.json
Total signals in file: 1127
Score filter: 5-7
Holding period: 365 days
Stop loss: -60%
Signals after score filter: 960
Loaded price data for 517/517 tickers

--- STRICT VALIDATION RESULTS ---
Valid trades: 960
Dropped - no entry price: 0
Dropped - insufficient coverage (data gaps): 0
Total dropped: 0 (0.0% of filtered signals)

================================================================================
STRICT ANALYSIS: signals_history_1b_2023.json
================================================================================

Data Quality:
  Total signals:     1127
  After score filter: 960
  Valid trades:      960 (100.0%)
    - Closed:        571 (stop_loss or 12M exit)
    - Open:          389 (still holding, using latest price)
  Dropped (total):   0 (0.0%)
    - No entry price:  0
    - Data gaps:       0 (insufficient coverage in holding period)

Performance - CLOSED trades only (571 trades):
  Avg Return:    +44.6%
  Win Rate:      68.5%

Performance - ALL trades including OPEN (960 trades):
  Avg Return:    +41.7%
  Win Rate:      68.3% (656W / 304L)
  Avg Win:       +70.0%
  Avg Loss:      -19.5%
  Best:          +712.0%
  Worst:         -60.0%

Exit Reasons (closed trades):
  Stop Loss (-25%): 21 (3.7% of closed)
  Time (12M):       550 (96.3% of closed)

All Trades (960):
Entry        Exit         Ticker   Score     Entry$      Exit$     Return   Days Reason    
2024-03-27   2025-03-27   VRT          5      81.01      76.32     -5.8%    365 time      
2024-03-27   2025-03-27   VST          5      68.30     119.31    +74.7%    365 time      
2024-04-03   2025-04-03   AUR          6       3.02       6.28   +107.9%    365 time      
2024-04-03   2025-04-03   APPF         6     233.50     224.41     -3.9%    365 time      
2024-04-03   2025-04-03   SMTC         6      31.48      29.71     -5.6%    365 time      
2024-04-03   2025-04-03   RGLD         5     122.75     167.27    +36.3%    365 time      
2024-04-03   2025-04-03   MKC-V        5      77.28      80.70     +4.4%    365 time      
2024-04-03   2025-04-03   EQX          5       6.49       6.56     +1.1%    365 time      
2024-04-03   2025-04-03   SNX          5     118.23      99.48    -15.9%    365 time      
2024-04-10   2025-04-10   DELL         7     123.37      78.94    -36.0%    365 time      
2024-04-10   2025-04-10   PAAS         7      19.03      24.84    +30.5%    365 time      
2024-04-10   2025-04-10   CDE          7       4.72       5.49    +16.3%    365 time      
2024-04-10   2025-04-10   GE           6     156.61     181.51    +15.9%    365 time      
2024-04-10   2025-04-10   SPOT         6     299.99     553.02    +84.3%    365 time      
2024-04-10   2025-04-10   SNX          6     114.92     101.85    -11.4%    365 time      
2024-04-10   2025-04-10   AG           6       7.91       6.02    -23.9%    365 time      
2024-04-10   2025-04-10   HUBS         5     657.71     518.87    -21.1%    365 time      
